"N_PORTION","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"0 portions","European Union - 27 countries (from 2020)","Percentage","2014","All ISCED 2011 levels ","Total","Total","36.0",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total","32.9",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2014","All ISCED 2011 levels ","Total","Total","34.4",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.1",""
"0 portions","Belgium","Percentage","2019","All ISCED 2011 levels ","Total","Total","17.4",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Total","Total","58.6",""
"0 portions","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Total","Total","47.1",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Total","Total","46.3",""
"0 portions","Czechia","Percentage","2019","All ISCED 2011 levels ","Total","Total","48.2",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Total","Total","37.6",""
"0 portions","Denmark","Percentage","2019","All ISCED 2011 levels ","Total","Total","38.6",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Total","Total","45.2",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Total","Total","33.2",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Total","Total","34.9",""
"0 portions","Estonia","Percentage","2019","All ISCED 2011 levels ","Total","Total","39.4",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Total","Total","33.4",""
"0 portions","Ireland","Percentage","2019","All ISCED 2011 levels ","Total","Total","19.0",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Total","Total","30.1",""
"0 portions","Greece","Percentage","2019","All ISCED 2011 levels ","Total","Total","33.1",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Total","Total","25.0",""
"0 portions","Spain","Percentage","2019","All ISCED 2011 levels ","Total","Total","23.4",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Total","Total","34.7",""
"0 portions","France","Percentage","2019","All ISCED 2011 levels ","Total","Total","25.2",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Total","Total","27.5",""
"0 portions","Croatia","Percentage","2019","All ISCED 2011 levels ","Total","Total","28.5",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Total","Total","23.0",""
"0 portions","Italy","Percentage","2019","All ISCED 2011 levels ","Total","Total","23.8",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Total","Total","32.6",""
"0 portions","Cyprus","Percentage","2019","All ISCED 2011 levels ","Total","Total","33.2",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Total","Total","48.5",""
"0 portions","Latvia","Percentage","2019","All ISCED 2011 levels ","Total","Total","53.9",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Total","Total","41.5",""
"0 portions","Lithuania","Percentage","2019","All ISCED 2011 levels ","Total","Total","41.0",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Total","Total","36.2",""
"0 portions","Luxembourg","Percentage","2019","All ISCED 2011 levels ","Total","Total","48.1",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Total","Total","33.1",""
"0 portions","Hungary","Percentage","2019","All ISCED 2011 levels ","Total","Total","36.3",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Total","Total","35.6",""
"0 portions","Malta","Percentage","2019","All ISCED 2011 levels ","Total","Total","36.4",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Total","Total","45.9",""
"0 portions","Netherlands","Percentage","2019","All ISCED 2011 levels ","Total","Total","41.8",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Total","Total","31.8",""
"0 portions","Austria","Percentage","2019","All ISCED 2011 levels ","Total","Total","35.8",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Total","Total","33.2",""
"0 portions","Poland","Percentage","2019","All ISCED 2011 levels ","Total","Total","37.5",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Total","Total","20.7",""
"0 portions","Portugal","Percentage","2019","All ISCED 2011 levels ","Total","Total","27.4",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Total","Total","65.1",""
"0 portions","Romania","Percentage","2019","All ISCED 2011 levels ","Total","Total","73.6",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Total","Total","27.0",""
"0 portions","Slovenia","Percentage","2019","All ISCED 2011 levels ","Total","Total","31.9",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Total","Total","46.6",""
"0 portions","Slovakia","Percentage","2019","All ISCED 2011 levels ","Total","Total","41.3",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Total","Total","42.3",""
"0 portions","Finland","Percentage","2019","All ISCED 2011 levels ","Total","Total","37.5",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Total","Total","36.5",""
"0 portions","Sweden","Percentage","2019","All ISCED 2011 levels ","Total","Total","37.7",""
"0 portions","Iceland","Percentage","2014","All ISCED 2011 levels ","Total","Total","34.8",""
"0 portions","Iceland","Percentage","2019","All ISCED 2011 levels ","Total","Total","34.1",""
"0 portions","Norway","Percentage","2014","All ISCED 2011 levels ","Total","Total","30.9",""
"0 portions","Norway","Percentage","2019","All ISCED 2011 levels ","Total","Total","29.2",""
"0 portions","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Total","Total","21.3",""
"0 portions","United Kingdom","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"0 portions","Serbia","Percentage","2014","All ISCED 2011 levels ","Total","Total",":",""
"0 portions","Serbia","Percentage","2019","All ISCED 2011 levels ","Total","Total","44.6",""
"0 portions","Turkey","Percentage","2014","All ISCED 2011 levels ","Total","Total","33.7",""
"0 portions","Turkey","Percentage","2019","All ISCED 2011 levels ","Total","Total","37.5",""
"From 1 to 4 portions","European Union - 27 countries (from 2020)","Percentage","2014","All ISCED 2011 levels ","Total","Total","52.1",""
"From 1 to 4 portions","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total","54.7",""
"From 1 to 4 portions","European Union - 28 countries (2013-2020)","Percentage","2014","All ISCED 2011 levels ","Total","Total","51.4",""
"From 1 to 4 portions","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"From 1 to 4 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Total","Total","71.3",""
"From 1 to 4 portions","Belgium","Percentage","2019","All ISCED 2011 levels ","Total","Total","67.5",""
"From 1 to 4 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Total","Total","37.0",""
"From 1 to 4 portions","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Total","Total","47.8",""
"From 1 to 4 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Total","Total","44.6",""
"From 1 to 4 portions","Czechia","Percentage","2019","All ISCED 2011 levels ","Total","Total","44.1",""
"From 1 to 4 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Total","Total","36.5",""
"From 1 to 4 portions","Denmark","Percentage","2019","All ISCED 2011 levels ","Total","Total","38.5",""
"From 1 to 4 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Total","Total","44.9",""
"From 1 to 4 portions","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Total","Total","55.9",""
"From 1 to 4 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Total","Total","47.8",""
"From 1 to 4 portions","Estonia","Percentage","2019","All ISCED 2011 levels ","Total","Total","47.3",""
"From 1 to 4 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Total","Total","37.8",""
"From 1 to 4 portions","Ireland","Percentage","2019","All ISCED 2011 levels ","Total","Total","48.1",""
"From 1 to 4 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Total","Total","62.1",""
"From 1 to 4 portions","Greece","Percentage","2019","All ISCED 2011 levels ","Total","Total","54.5",""
"From 1 to 4 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Total","Total","62.6",""
"From 1 to 4 portions","Spain","Percentage","2019","All ISCED 2011 levels ","Total","Total","65.7",""
"From 1 to 4 portions","France","Percentage","2014","All ISCED 2011 levels ","Total","Total","50.4",""
"From 1 to 4 portions","France","Percentage","2019","All ISCED 2011 levels ","Total","Total","55.3",""
"From 1 to 4 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Total","Total","65.5",""
"From 1 to 4 portions","Croatia","Percentage","2019","All ISCED 2011 levels ","Total","Total","61.7",""
"From 1 to 4 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Total","Total","65.1",""
"From 1 to 4 portions","Italy","Percentage","2019","All ISCED 2011 levels ","Total","Total","65.7",""
"From 1 to 4 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Total","Total","51.3",""
"From 1 to 4 portions","Cyprus","Percentage","2019","All ISCED 2011 levels ","Total","Total","58.8",""
"From 1 to 4 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Total","Total","40.2",""
"From 1 to 4 portions","Latvia","Percentage","2019","All ISCED 2011 levels ","Total","Total","38.9",""
"From 1 to 4 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Total","Total","44.5",""
"From 1 to 4 portions","Lithuania","Percentage","2019","All ISCED 2011 levels ","Total","Total","43.1",""
"From 1 to 4 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Total","Total","48.7",""
"From 1 to 4 portions","Luxembourg","Percentage","2019","All ISCED 2011 levels ","Total","Total","38.3",""
"From 1 to 4 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Total","Total","56.8",""
"From 1 to 4 portions","Hungary","Percentage","2019","All ISCED 2011 levels ","Total","Total","55.5",""
"From 1 to 4 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Total","Total","47.6",""
"From 1 to 4 portions","Malta","Percentage","2019","All ISCED 2011 levels ","Total","Total","52.1",""
"From 1 to 4 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Total","Total","29.0",""
"From 1 to 4 portions","Netherlands","Percentage","2019","All ISCED 2011 levels ","Total","Total","28.7",""
"From 1 to 4 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Total","Total","61.1",""
"From 1 to 4 portions","Austria","Percentage","2019","All ISCED 2011 levels ","Total","Total","58.7",""
"From 1 to 4 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Total","Total","56.8",""
"From 1 to 4 portions","Poland","Percentage","2019","All ISCED 2011 levels ","Total","Total","53.9",""
"From 1 to 4 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Total","Total","61.1",""
"From 1 to 4 portions","Portugal","Percentage","2019","All ISCED 2011 levels ","Total","Total","58.2",""
"From 1 to 4 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Total","Total","31.4",""
"From 1 to 4 portions","Romania","Percentage","2019","All ISCED 2011 levels ","Total","Total","24.0",""
"From 1 to 4 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Total","Total","65.5",""
"From 1 to 4 portions","Slovenia","Percentage","2019","All ISCED 2011 levels ","Total","Total","62.8",""
"From 1 to 4 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Total","Total","42.6",""
"From 1 to 4 portions","Slovakia","Percentage","2019","All ISCED 2011 levels ","Total","Total","50.2",""
"From 1 to 4 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Total","Total","44.8",""
"From 1 to 4 portions","Finland","Percentage","2019","All ISCED 2011 levels ","Total","Total","49.0",""
"From 1 to 4 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Total","Total","54.5",""
"From 1 to 4 portions","Sweden","Percentage","2019","All ISCED 2011 levels ","Total","Total","54.6",""
"From 1 to 4 portions","Iceland","Percentage","2014","All ISCED 2011 levels ","Total","Total","55.1",""
"From 1 to 4 portions","Iceland","Percentage","2019","All ISCED 2011 levels ","Total","Total","56.7",""
"From 1 to 4 portions","Norway","Percentage","2014","All ISCED 2011 levels ","Total","Total","62.6",""
"From 1 to 4 portions","Norway","Percentage","2019","All ISCED 2011 levels ","Total","Total","62.2",""
"From 1 to 4 portions","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Total","Total","45.6",""
"From 1 to 4 portions","United Kingdom","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"From 1 to 4 portions","Serbia","Percentage","2014","All ISCED 2011 levels ","Total","Total",":",""
"From 1 to 4 portions","Serbia","Percentage","2019","All ISCED 2011 levels ","Total","Total","47.3",""
"From 1 to 4 portions","Turkey","Percentage","2014","All ISCED 2011 levels ","Total","Total","63.2",""
"From 1 to 4 portions","Turkey","Percentage","2019","All ISCED 2011 levels ","Total","Total","59.7",""
"5 portions or more","European Union - 27 countries (from 2020)","Percentage","2014","All ISCED 2011 levels ","Total","Total","11.9",""
"5 portions or more","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total","12.4",""
"5 portions or more","European Union - 28 countries (2013-2020)","Percentage","2014","All ISCED 2011 levels ","Total","Total","14.3",""
"5 portions or more","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"5 portions or more","Belgium","Percentage","2014","All ISCED 2011 levels ","Total","Total","12.6",""
"5 portions or more","Belgium","Percentage","2019","All ISCED 2011 levels ","Total","Total","15.1",""
"5 portions or more","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Total","Total","4.4",""
"5 portions or more","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Total","Total","5.0",""
"5 portions or more","Czechia","Percentage","2014","All ISCED 2011 levels ","Total","Total","9.1",""
"5 portions or more","Czechia","Percentage","2019","All ISCED 2011 levels ","Total","Total","7.7",""
"5 portions or more","Denmark","Percentage","2014","All ISCED 2011 levels ","Total","Total","25.9",""
"5 portions or more","Denmark","Percentage","2019","All ISCED 2011 levels ","Total","Total","22.9",""
"5 portions or more","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Total","Total","9.9",""
"5 portions or more","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Total","Total","10.9",""
"5 portions or more","Estonia","Percentage","2014","All ISCED 2011 levels ","Total","Total","17.3",""
"5 portions or more","Estonia","Percentage","2019","All ISCED 2011 levels ","Total","Total","13.3",""
"5 portions or more","Ireland","Percentage","2014","All ISCED 2011 levels ","Total","Total","28.8",""
"5 portions or more","Ireland","Percentage","2019","All ISCED 2011 levels ","Total","Total","32.9",""
"5 portions or more","Greece","Percentage","2014","All ISCED 2011 levels ","Total","Total","7.8",""
"5 portions or more","Greece","Percentage","2019","All ISCED 2011 levels ","Total","Total","12.4",""
"5 portions or more","Spain","Percentage","2014","All ISCED 2011 levels ","Total","Total","12.4",""
"5 portions or more","Spain","Percentage","2019","All ISCED 2011 levels ","Total","Total","10.9",""
"5 portions or more","France","Percentage","2014","All ISCED 2011 levels ","Total","Total","14.9",""
"5 portions or more","France","Percentage","2019","All ISCED 2011 levels ","Total","Total","19.5",""
"5 portions or more","Croatia","Percentage","2014","All ISCED 2011 levels ","Total","Total","7.0",""
"5 portions or more","Croatia","Percentage","2019","All ISCED 2011 levels ","Total","Total","9.8",""
"5 portions or more","Italy","Percentage","2014","All ISCED 2011 levels ","Total","Total","11.8",""
"5 portions or more","Italy","Percentage","2019","All ISCED 2011 levels ","Total","Total","10.5",""
"5 portions or more","Cyprus","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.1",""
"5 portions or more","Cyprus","Percentage","2019","All ISCED 2011 levels ","Total","Total","7.9",""
"5 portions or more","Latvia","Percentage","2014","All ISCED 2011 levels ","Total","Total","11.4",""
"5 portions or more","Latvia","Percentage","2019","All ISCED 2011 levels ","Total","Total","7.2",""
"5 portions or more","Lithuania","Percentage","2014","All ISCED 2011 levels ","Total","Total","14.1",""
"5 portions or more","Lithuania","Percentage","2019","All ISCED 2011 levels ","Total","Total","15.9",""
"5 portions or more","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Total","Total","15.1",""
"5 portions or more","Luxembourg","Percentage","2019","All ISCED 2011 levels ","Total","Total","13.6",""
"5 portions or more","Hungary","Percentage","2014","All ISCED 2011 levels ","Total","Total","10.1",""
"5 portions or more","Hungary","Percentage","2019","All ISCED 2011 levels ","Total","Total","8.2",""
"5 portions or more","Malta","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.8",""
"5 portions or more","Malta","Percentage","2019","All ISCED 2011 levels ","Total","Total","11.6",""
"5 portions or more","Netherlands","Percentage","2014","All ISCED 2011 levels ","Total","Total","25.0",""
"5 portions or more","Netherlands","Percentage","2019","All ISCED 2011 levels ","Total","Total","29.5",""
"5 portions or more","Austria","Percentage","2014","All ISCED 2011 levels ","Total","Total","7.2",""
"5 portions or more","Austria","Percentage","2019","All ISCED 2011 levels ","Total","Total","5.6",""
"5 portions or more","Poland","Percentage","2014","All ISCED 2011 levels ","Total","Total","10.1",""
"5 portions or more","Poland","Percentage","2019","All ISCED 2011 levels ","Total","Total","8.6",""
"5 portions or more","Portugal","Percentage","2014","All ISCED 2011 levels ","Total","Total","18.2",""
"5 portions or more","Portugal","Percentage","2019","All ISCED 2011 levels ","Total","Total","14.4",""
"5 portions or more","Romania","Percentage","2014","All ISCED 2011 levels ","Total","Total","3.5",""
"5 portions or more","Romania","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.4",""
"5 portions or more","Slovenia","Percentage","2014","All ISCED 2011 levels ","Total","Total","7.5",""
"5 portions or more","Slovenia","Percentage","2019","All ISCED 2011 levels ","Total","Total","5.3",""
"5 portions or more","Slovakia","Percentage","2014","All ISCED 2011 levels ","Total","Total","10.8",""
"5 portions or more","Slovakia","Percentage","2019","All ISCED 2011 levels ","Total","Total","8.5",""
"5 portions or more","Finland","Percentage","2014","All ISCED 2011 levels ","Total","Total","12.9",""
"5 portions or more","Finland","Percentage","2019","All ISCED 2011 levels ","Total","Total","13.5",""
"5 portions or more","Sweden","Percentage","2014","All ISCED 2011 levels ","Total","Total","9.0",""
"5 portions or more","Sweden","Percentage","2019","All ISCED 2011 levels ","Total","Total","7.6",""
"5 portions or more","Iceland","Percentage","2014","All ISCED 2011 levels ","Total","Total","10.1",""
"5 portions or more","Iceland","Percentage","2019","All ISCED 2011 levels ","Total","Total","9.1",""
"5 portions or more","Norway","Percentage","2014","All ISCED 2011 levels ","Total","Total","6.5",""
"5 portions or more","Norway","Percentage","2019","All ISCED 2011 levels ","Total","Total","8.6",""
"5 portions or more","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Total","Total","33.1",""
"5 portions or more","United Kingdom","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"5 portions or more","Serbia","Percentage","2014","All ISCED 2011 levels ","Total","Total",":",""
"5 portions or more","Serbia","Percentage","2019","All ISCED 2011 levels ","Total","Total","8.1",""
"5 portions or more","Turkey","Percentage","2014","All ISCED 2011 levels ","Total","Total","3.0",""
"5 portions or more","Turkey","Percentage","2019","All ISCED 2011 levels ","Total","Total","2.8",""
